##########################################################################################################################################
# This is the online data table for the paper Li et. al (2018)
# "SDSS-IV MaNGA: Global stellar population and gradients for about 2000 early-type and spiral galaxies on the mass-size plane"
#
# Table title: Properties of all the galaxies in the sample of Li et al. (2018)
##########################################################################################################################################
#  MaNGA ID  | Morphology | logsigma_e | logM_{1/2} | logR_e | logAge |  [Z/H]  | logM^*/L | Delta logAge | Delta [Z/H] | Delta logM^*/L |
#            |            |    km/s    |    M_sun   |   kpc  |  years |         |          |              |             |
#     (1)    |     (2)    |    (3)     |     (4)    |   (5)  |   (6)  |   (7)   |    (8)   |     (9)      |     (10)    |       (11)     |
##########################################################################################################################################
12-84620           S           1.60         9.33       0.33     9.24     -0.79      0.33        -0.03          +0.20                -0.13
12-84665           S           1.77         9.87       0.54     9.09     -0.95      0.25        -0.28          -0.22                -0.05
12-84670           E           2.32        11.30       0.90     9.77     +0.07      0.61        -0.14          +0.02                -0.11
12-49536           E           1.57         9.29       0.36     9.53     -0.18      0.38        +0.17          -0.09                +0.13
12-84660           S           1.73        10.06       0.80     9.29     -0.82      0.44        -0.05          -0.60                +0.04
12-84674           S           1.70        10.23       1.06     9.40     -0.57      0.44        -0.05          -0.14                -0.11
12-84731           S           1.86        10.51       1.05     9.38     -0.66      0.34        -0.10          +0.02                -0.23
12-180432          S           1.97        10.43       0.69     9.14     -0.84      0.34        -0.13          -0.18                -0.17
12-193534          S           1.57         9.30       0.33     9.09     -0.97      0.07        +0.16          +0.01                +0.05
12-98126           E           1.74         9.63       0.40     9.49     -0.07      0.38        +0.08          +0.02                +0.10
12-84617           S           1.70         9.52       0.36     9.16     -1.11      0.07        -0.05          +0.11                -0.07
12-84677           E           2.17        11.08       1.00     9.64     +0.10      0.56        -0.23          -0.08                -0.19
12-84627           S           2.04        10.97       1.12     9.31     -0.51      0.41        -0.39          -0.44                -0.29
12-84679           E           2.44        11.70       1.13     9.83     +0.06      0.66        -0.34          -0.11                -0.29
12-110746          E           2.00         9.94       0.17     9.76     -0.02      0.57        -0.00          -0.18                -0.05
12-192149          S           1.72         9.92       0.63     9.30     -0.72      0.38        -0.15          -0.11                -0.06
12-129608          E           1.68         9.61       0.40     9.76     -0.33      0.50        +0.11          -0.19                +0.04
12-129612          S           2.04        10.85       1.04     9.43     -0.30      0.47        -0.41          -0.27                -0.19
12-129618          S           2.04        10.81       0.97     9.49     -0.31      0.49        -0.54          -0.42                -0.18
12-129446          S           2.04        10.83       0.93     9.42     -0.30      0.43        -0.24          -0.70                -0.08
12-192120          S           2.15        10.84       0.89     9.85     +0.05      0.68        -0.16          -0.15                -0.16
12-129646          S           1.94        10.69       0.98     9.35     -0.48      0.39        -0.33          -0.15                -0.17
12-129601          E           2.19        10.64       0.51     9.83     +0.10      0.72        -0.04          -0.16                -0.13
12-129609          E           1.97        10.29       0.59     9.57     +0.04      0.47        +0.00          -0.38                -0.07
1-113520           E           1.80         9.64       0.19     9.72     -0.06      0.52        +0.10          -0.23                +0.02
1-113521           S           2.00        10.86       1.07     9.19     -0.36      0.28        -0.32          -0.42                -0.27
1-113540           S           1.89        10.03       0.50     9.25     -0.53      0.46        +0.09          -0.31                +0.14
1-113525           S           1.49         9.20       0.51     9.65     -0.18      0.49        +0.19          -0.30                +0.15
1-113375           S           1.84        10.31       0.85     9.30     -0.72      0.33        -0.39          -0.02                -0.34
1-113418           S           2.11        10.88       0.99     9.54     -0.34      0.53        -0.25          -0.36                -0.16
1-113468           S           2.22        11.21       1.00     9.74     -0.13      0.56        -0.20          -0.12                -0.15
1-113403           S           1.96        10.43       0.84     9.52     -0.24      0.46        +0.14          -0.11                -0.01
1-113651           S           2.13        10.82       0.74     9.61     +0.05      0.53        -0.12          -0.18                -0.07
1-635503           S           2.01        10.66       0.92     9.19     -0.67      0.38        -0.12          -0.47                -0.04
1-113585           E           2.31        11.17       0.87     9.74     +0.11      0.60        -0.01          -0.12                -0.05
1-259091           E           2.04        10.23       0.40     9.66     +0.01      0.52        -0.10          +0.03                -0.07
1-282665           S           1.88        10.08       0.55     9.68     -0.75      0.56        -0.36          -0.26                -0.12
1-259058           S           1.78         9.87       0.51     9.08     -0.88      0.33        -0.00          -0.15                -0.05
1-259050           S           1.99        10.61       0.79     9.31     -0.59      0.44        -0.45          -0.58                -0.13
1-620993           S           1.76        10.08       0.83     9.43     -0.52      0.50        -0.91          -0.32                -0.37
1-259068           S           2.01        10.34       0.54     9.15     -0.90      0.32        -0.11          -0.17                +0.10
1-259079           E           2.19        10.63       0.58     9.95     +0.09      0.76        -0.16          -0.01                -0.13
1-282653           S           1.83        10.19       0.78     9.15     -0.89      0.27        -0.35          -0.23                -0.17
1-258876           S           2.14        10.79       0.88     9.76     +0.09      0.62        +0.00          -0.17                -0.06
1-259250           E           2.30        10.85       0.59     9.94     +0.10      0.76        -0.31          +0.06                -0.18
1-283286           E           2.12        10.64       0.70     9.77     -0.08      0.59        -0.00          -0.10                -0.02
1-259245           S           1.68         9.96       0.69     9.35     -0.61      0.33        -0.34          -0.36                -0.21
1-283246           E           2.10        10.55       0.65     9.79     -0.13      0.57        +0.03          -0.06                -0.01
1-235530           E           2.22        10.57       0.46     9.90     -0.00      0.71        -0.09          -0.45                -0.13
1-265988           S           2.02        10.57       0.77     9.43     -0.29      0.49        -0.41          -0.35                -0.15
1-266045           S           1.68         9.61       0.48     9.18     -1.17      0.19        +0.01          +0.17                +0.10
1-266074           E           2.33        11.65       1.20     9.96     +0.09      0.77        -0.19          +0.09                -0.12
1-266039           S           2.02        10.89       1.02     9.35     -0.34      0.37        -0.38          -0.59                -0.18
1-265980           E           2.27        11.14       0.86     9.80     +0.01      0.63        +0.25          -0.28                +0.11
1-629695           E           1.80         9.86       0.45     9.90     -0.32      0.59        +0.00          -0.20                -0.03
1-234388           E           2.16        10.42       0.31     9.87     -0.10      0.66        -0.14          +0.11                -0.05
1-234632           E           2.11        10.73       0.77     9.62     -0.16      0.52        -0.02          -0.25                -0.00
1-234004           E           2.12        10.49       0.52     9.89     +0.02      0.69        +0.00          -0.08                -0.02
1-285062           E           2.12        10.29       0.39     9.80     +0.17      0.68        +0.00          -0.11                -0.02
1-234341           S           1.84        10.39       0.89     9.26     -0.62      0.37        -0.27          -0.57                -0.03
1-285052           S           2.00        10.67       0.97     9.78     -0.03      0.64        -0.24          -0.21                -0.14
1-285136           S           1.86        10.57       0.93     9.34     -0.41      0.37        -0.36          -0.29                -0.11
1-234408           S           1.84        10.26       0.80     9.44     -0.37      0.35        -0.46          -0.61                -0.35
